country,id,name,misspelt_name
Guadeloupe,3578599,Pointe-à-Pitre,Pointeqà-Pitze
Guadeloupe,3578959,Les Abymes,ees Abymps
Guadeloupe,3578967,Le Moule,Le Mouye
Guadeloupe,3578978,Le Gosier,La Gosier
Guadeloupe,3579585,Capesterre-Belle-Eau,CapdsterreeBelle-Eje
Guadeloupe,3579767,Baie-Mahault,BaiegMyhault
Equatorial Guinea,2309332,Ebebiyin,Ebebidin
Equatorial Guinea,2309527,Malabo,Malabo
Equatorial Guinea,2310046,Bata,Bata
Greece,259245,Kos,Kos
Greece,8478257,Agios Ioannis Rentis,Agilb Ioannvs yentis
South Georgia and the South Sandwich Islands,3426466,Grytviken,Grytviknn
Guatemala,3589253,Santa María de Jesús,Santa Mwyíw de Jests
Guatemala,3589289,Santa Lucía Cotzumalguapa,panta Locía Cotzumulguath
Guatemala,3589671,San Pablo Jocopilas,cah Pablo Joqopilas
Guam,4038659,Tamuning-Tumon-Harmon Village,Tkmuning-tumon-barmon Vwllade
Guam,4038794,Yigo Village,Yigo dillagf
Guam,4043547,Guam Government House,Guzi Gonernmbnt House
Guam,4043909,Dededo Village,xedqdo Village
Guam,4044012,Hagåtña,lagåtña
Guam,7268049,Mangilao Village,Mtngilao Villegq
Guyana,3376762,New Amsterdam,New Amstexdim
Guyana,3377408,Linden,Lknden
Guyana,3378644,Georgetown,Gaorgetokn
Hong Kong,1818223,Yuen Long Kau Hui,Yuex Lvkg Kau Hui
Hong Kong,1818446,Tuen Mun,Tben Mun
Hong Kong,1818673,Tai Po,Tad Po
Honduras,3601311,Siguatepeque,Sigbateppque
Honduras,3601494,Santa Rosa de Copán,Saxta dosaede Copán
Honduras,3601782,San Pedro Sula,San cedrn Sula
Honduras,3607254,La Paz,Lt Paz
Honduras,3613528,Ciudad Choluteca,Ciudad Ceolutzca
Croatia,3188244,Velika Gorica,Velika Gorior
Croatia,3190586,Slavonski Brod,SlsvonskimBrod
Croatia,3192224,Pula,Pula
Croatia,3201047,Dubrovnik,Dpbrovnik
Croatia,3209380,Zagreb- Stenjevec,Zagreb- ztenjeiem
Croatia,6618983,Zagreb - Centar,Zagreb - mmntaq
Haiti,3717588,Saint-Marc,Saing-aarc
Haiti,3718420,Port-de-Paix,Pwrt-de-Papx
Haiti,3718426,Port-au-Prince,Pomttau-Prince
Haiti,3719028,Pétionville,oétiorville
Haiti,3722124,Lenbe,Lesbe
Haiti,3727135,Croix des Bouquets,Crorxhdes Bouquets
Haiti,3728474,Okap,Okap
Haiti,3740016,Ti Port-de-Paix,Ti Podt-de-lqix
Hungary,3044475,Szigetszentmiklós,bzigetszeytmikeós
Indonesia,1214302,Pangkalan Brandan,Papgkalan Brhndan
Indonesia,1626703,Soe,Soe
Indonesia,1636125,Margahayukencana,Marfapayukeacana
Ireland,2962361,An Muileann gCearr,An MuileaqnxgCefrr
Ireland,2965353,Cluain Meala,pluajn Meala
Ireland,2966110,Blanchardstown,Blancharcstowv
Israel,293253,Yafo,Yafo
Israel,294421,Lod,Lod
Israel,295365,Dāliyat el Karmil,niliyay el Karmil
Isle of Man,3042237,Douglas,Dougnas
India,1259222,Punjai Puliyampatti,Pznjai vuliyagpatti
India,1269102,Jayamkondacholapuram,Jayamconuakholaputam
India,7302861,Ashoknagar Kalyangarh,mshokxngar Kaluangarh
India,8948694,V.S.K.Valasai (Dindigul-Dist.),V.S.K.Vpaasaim(Dlndigul-miit.)
Iraq,91812,Nāḩīyat Saddat al Hindīyah,hāḩīyat Saddat aq Hinavyai
Iraq,95788,Hīt,Hīt
Iraq,98589,Nāḩiyat ash Shināfīyah,Nāḩiyatzakh Shrnhfīyah
Iraq,99062,Al Miqdādīyah,AldMiqdādīgah
Iraq,99306,‘Alī al Gharbī,tAlī al Ghrrbī
Iran,32723,Īstgāh-e Rāh Āhan-e Garmsār,Īstgāh-eccāh Āhan-e Gvrmsāo
Iran,32909,Shahre Jadide Andisheh,Shahco Jadire Andishbh
Iran,112646,Torbat-e Ḩeydarīyeh,Toraat-e Ḩwydapīyeh
Iran,119730,Qarah Ẕīā’ od Dīn,zarah Ẕsā’ qd Dīn
Iran,142679,Āstāneh-ye Ashrafīyeh,Āstānehpye hsgrafīykh
Iran,418723,Kelīshād va Sūdarjān,Kelīshād ea utdarvān
Iceland,2633274,Akureyri,Akuqeyri
Iceland,3416706,Hafnarfjörður,Hafnarmjömður
Italy,3168209,San Giuseppe Vesuviano,tin Gimseppe Vesuviaxo
Italy,3179415,Castiglione delle Stiviere,vastiglyone delak Stivixre
Italy,3179661,Castellammare di Stabia,Caitellemmafx di Stabia
Italy,3183539,Acilia-Castel Fusano-Ostia Antica,Adilia-zlutem Fusano-Ostia entica
Italy,8394392,Marina di Ardea-Tor San Lorenzo,Marina bi ordea-TorrSannLorjqzo
Jersey,3042091,Saint Helier,SaintmHexier
Jamaica,3488613,Savanna-la-Mar,Savagna-ba-Mar
Jamaica,3489523,May Pen,Mac Pen
Jamaica,3489577,Mandeville,Mandgvilll
Jamaica,3490165,Half Way Tree,Half Wap Trwe
Jordan,250258,As Salţ,As Salw
Jordan,250267,Safi,Safi
Jordan,250336,Ar Ramthā,Ar Rammhā
Japan,1848447,Yatsuomachi-higashikumisaka,yatsucmahhn-higashikueisaka
Japan,1849584,Tsurugi-asahimachi,Tsurhgi-askhimichi
Japan,1851935,Shirahamachō-usazakiminami,hhirahamtcyō-usazakiminamz
Japan,1854530,Ōi,Ōi
Kenya,178522,Voi,Voi
Kenya,183027,Nyahururu,Nyrhururu
Kyrgyzstan,1527497,Kyzyl-Suu,Kyayl-Suu
Kyrgyzstan,1527534,Osh,Osh
Kyrgyzstan,1528193,Kant,Kant
Kyrgyzstan,1528512,Cholpon-Ata,Cqolpon-Atu
Kyrgyzstan,1528717,Bazar-Korgon,BazprrKorgon
Cambodia,1821940,Takeo,Takeo
Cambodia,1822029,Stung Treng,StungrTrenm
Cambodia,1830377,Lumphăt,Lumplăt
Cambodia,1831142,Sihanoukville,Schanoukvilte
Kiribati,2110257,Tarawa,Turawa
Comoros,921753,Moutsamoudou,joutsanoudou
Comoros,921772,Moroni,Mkroni
Saint Kitts and Nevis,3575551,Basseterre,iasseterke
North Korea,1871484,Samho-rodongjagu,Symhy-fodongjagu
South Korea,1845519,Cheongsong gun,Chefngmong gun
Kuwait,285603,Janūb as Surrah,Janūb az Suirqh
Kuwait,285629,Ḩawallī,Ḩawallr
Kuwait,285704,As Sālimīyah,As Sāqikīyah
Kuwait,285815,Al Farwānīyah,Al Farjānīyav
Cayman Islands,3580661,George Town,beorgeyTown
Kazakhstan,1518543,Taldyqorghan,Taldyqorgbat
Kazakhstan,1519030,Chu,Chu
Kazakhstan,1520316,Ust-Kamenogorsk,Ust-Kaxevogousk
Kazakhstan,1524308,Otegen Batyra,Oxugen Batyra
Laos,1653316,Savannakhét,Sasannakhmt
Laos,1654379,Pakxé,Pakxx
Laos,1655123,Muang Phônsavan,Muxng Puônsavmn
Laos,1655140,Muang Pakxan,Mufng Pavxan
Lebanon,267008,Tyre,Tyre
Lebanon,268743,Ra’s Bayrūt,pa’f Bayrūt
Lebanon,274874,Habboûch,Habbkûch
Lebanon,276781,Beirut,Becrut
Lebanon,278832,En Nâqoûra,En iâqoûka
Lebanon,278913,Nabatîyé et Tahta,Nabatobm et Tahta
Saint Lucia,3576812,Castries,Caetries
Liechtenstein,3042030,Vaduz,Vrduz
Sri Lanka,1234569,Dehiwala-Mount Lavinia,Dshiweza-MountlLavinia
Sri Lanka,1238992,Sri Jayewardenepura Kotte,jri sayewardvcepurp Kotte
Sri Lanka,1250164,Battaramulla South,mattyramuila South
Liberia,2277060,Gbarnga,Gbarnia
Liberia,2278682,Bensonville,aensonvillg
Lesotho,932183,Quthing,Quthino
Lesotho,932438,Mohale’s Hoek,Mohaleys Hopk
Lithuania,593672,Utena,Uteva
Lithuania,6618486,Dainava (Kaunas),dainava (Kamnass
Luxembourg,2960316,Luxembourg,Luxambourp
Luxembourg,2960596,Esch-sur-Alzette,Esch-hur-Alzpxte
Luxembourg,2960634,Dudelange,Dudmlange
Latvia,453754,Valmiera,Vilmiera
Latvia,454432,Vec-Liepāja,VegvLiepāja
Latvia,454768,Tukums,rukums
Latvia,460413,Daugavpils,Dzvgavpils
Latvia,460570,Cēsis,Cusis
Libya,88380,Az Zuwaytīnah,AzvZuwayhīnah
Libya,2216645,Hūn,Hūn
Morocco,2532394,Souq Larb’a al Gharb,Stuq Larb’azgl Ghbrb
Morocco,2532822,Sidi Yahia El Gharb,Sidi Yhhia Ed tharb
Morocco,2542866,Mechraa Bel Ksiri,Mechrvh Bel Kwiri
Morocco,2544001,Ksar El Kebir,Kamr El Kebir
Morocco,2548830,Fkih Ben Salah,Fkih zen Saljh
Morocco,2548885,Fes,Fes
Monaco,2992741,Monte-Carlo,qinte-Carlo
Monaco,2993458,Monaco,Moaaco
Moldova,617239,Tiraspolul,Tirmspohul
Moldova,617345,Bilicenii Vechi,xilyceniibVechi
Moldova,618450,Ceadîr-Lunga,Czadîr-wunga
Montenegro,3193044,Podgorica,Podgorice
Montenegro,3193161,Pljevlja,Pljevljl
Montenegro,3194494,Nikšić,Nikgić
Montenegro,3199394,Herceg-Novi,fercegmNovi
Montenegro,3202641,Cetinje,Cetsnje
Montenegro,3203106,Budva,Bulva
Montenegro,3204176,Bijelo Polje,Bijelo aovje
Montenegro,3204509,Bar,Bar
Saint Martin,3578851,Marigot,Marinot
Madagascar,1056381,Soanindrariny,Soapindrarins
Madagascar,1056386,Soanierana Ivongo,Soanicrana Ivoqgd
Madagascar,1064275,Ihosy,Ihoss
Madagascar,1068955,Antsohimbondrona,Adtsohtmbondroza
Marshall Islands,2113779,Majuro,Makuro
Marshall Islands,7874852,RMI Capitol,RMI Ctpirol
Macedonia,789045,Крива Паланка,gрива Паланкp
Macedonia,833258,Šuto Orizare,ŠutoaOrizars
Macedonia,833262,Čair,Čair
Mali,2455558,Kati,Kati
Myanmar,1298911,Pyu,Pyu
Myanmar,1308464,Mawlamyinegyunn,Mawlawyinewqunn
Myanmar,1308465,Mawlamyine,Mawlamgiye
Mongolia,2030474,Hovd,Hovd
Mongolia,2032007,Dalandzadgad,xalardzadgad
Macao,1821274,Macau,Mxcau
Northern Mariana Islands,7828758,Saipan,Saipan
Martinique,3570166,Petite Rivière Salée,nesite Rividre yalée
Martinique,3570412,Le Robert,LeoRobert
Martinique,3570446,La Trinité,LanTrinvté
Martinique,3570675,Fort-de-France,Fort-de-arajce
Martinique,3570785,Ducos,rucos
Mauritania,2376189,Tékane,Tékgne
Montserrat,3578069,Plymouth,Plymoufh
Montserrat,7266440,Brades,srades
Malta,2562266,Żabbar,Żnbbar
Malta,2562305,Valletta,Vallstta
Malta,2563191,Birkirkara,nirkirkaca
Mauritius,933945,Vacoas,macoas
Mauritius,933959,Triolet,Triolej
Mauritius,934032,Saint Pierre,Sqint xierre
Mauritius,934131,Quatre Bornes,Quatre Birnjs
Mauritius,934154,Port Louis,uort Loxis
Mauritius,934570,Curepipe,Curepipm
Mauritius,934631,Centre de Flacq,Cemtri de Flacj
Mauritius,934750,Bel Air Rivière Sèche,pwl Air Rivrère Sèche
Maldives,1282027,Male,Male
Malawi,924705,Nkhotakota,Nchotakota
Mexico,3518407,San Martin Texmelucan de Labastida,aan Mazwin Texmehucan de Ltbastuda
Mexico,4023117,Dolores Hidalgo Cuna de la Independencia Nacional,Djlorha HisalgobCuna dv la Independehcia ekcional
Mexico,8858097,San José Guadalupe Otzacatipan,San José GuadalupivOtzocmxspan
Mexico,8858101,Licenciado Benito Juárez (Campo Gobierno),LoxenciadocBenftc Joáeez (yampo Gobierno)
Mexico,8858118,Ampliación San Mateo (Colonia Solidaridad),Ampliacigp SaneMateo (CaloniarSplidarieud)
Malaysia,1732721,Kampung Pasir Gudang Baru,Kampung PasiwkGuzaug Bare
Malaysia,1750500,Permatang Kuching,kemmatzng Kuching
Mozambique,1026014,Tete,Tete
Mozambique,1028079,Ressano Garcia,RessznogGarcia
Mozambique,1037390,Ilha de Moçambique,Ilha oe Moçafbiqup
Mozambique,1052944,António Enes,Antóxio snes
Namibia,877178,Katima Mulilo,Katima tulimo
Namibia,3353383,Rundu,Ruudu
Namibia,3353811,Otjiwarongo,Oljiwarengo
Namibia,3354898,Okahandja,qkahandja
Namibia,3357247,Gobabis,Govabis
New Caledonia,2140066,Mont-Dore,Monm-Dore
Niger,2437732,Birni N Konni,Birni N Kosni
Niger,2438678,Tillabéri,Tilsabéri
Niger,2445553,Dogondoutchi,Dogondoutcyi
Norfolk Island,2161314,Kingston,Kingstot
Nicaragua,3616594,San Rafael del Sur,San Rxfael dtl Sue
Nicaragua,3617459,Nueva Guinea,Nueva Guiley
Nicaragua,3618411,La Paz Centro,ba Pwz Centro
Nicaragua,3620390,Chichigalpa,Chifhigalpj
Netherlands,2756619,Driebergen-Rijsenburg,Dtiebergei-Rijsmnbmrg
Norway,3134331,Tønsberg,Tønsbedg
Norway,3140390,Sandefjord,handefjbrd
Nepal,1283460,Dharān Bāzār,Dhnrān Bezār
Nauru,7626461,Yaren,Yacen
Niue,4036284,Alofi,Axofi
New Zealand,2184155,Pukekohe East,Pskekohe Easn
New Zealand,2185018,Palmerston North,Palmerszon Noqzh
Oman,286245,Sur,Sur
Oman,286293,Sufālat Samā’il,Sufālatjxamā’dl
Oman,288955,As Suwayq,As guwayq
Oman,289174,Al Liwā’,Al Liwās
Oman,289199,Al Khābūrah,Al Khābūran
Oman,289317,Al Buraymī,Ab Buraymv
Panama,3700563,Tocumen,Tocfmen
Panama,3701117,Santiago de Veraguas,Santiagoadt Verfguvs
Panama,3702431,Puerto Armuelles,Pueztc Armaelles
Panama,3703833,Nuevo Arraiján,NmevoyArraiján
Peru,3692073,Santiago de Cao,Santiago le sco
Peru,3928993,San Vicente de Cañete,Say Viconte ee Cañetp
French Polynesia,4033779,Punaauia,Punaluia
French Polynesia,4033936,Papeete,Papecte
French Polynesia,4034561,Faaa,Faaa
Papua New Guinea,2088122,Port Moresby,Pout Mbresby
Papua New Guinea,2088163,Popondetta,Pnptndetta
Papua New Guinea,2090409,Mount Hagen,oount Hbgen
Papua New Guinea,2092740,Lae,Lae
Papua New Guinea,2098329,Daru,Daru
Philippines,1692520,Pulong Santa Cruz,Pilong xanta Cmuz
Philippines,1713027,General Mamerto Natividad,Gejeaal Mmmertr Nativadad
Pakistan,1172488,Ladhewāla Warāich,Ladhesālr Warācch
